Population      Civilian labor       Employed         Unemployed     Unemployment
force                                                rate      Error range of
"Region, division, and state                                                                                          rate, 2017 (1)"
2016     2017     2016     2017     2016     2017      2016     2017    2016   2017
"United States.............  253,538  255,079  159,187  160,320  151,436  153,337    7,751    6,982    4.9    4.4    4.3  -  4.4"
"Northeast......................   45,246   45,414   28,505   28,573   27,138   27,289    1,367    1,284    4.8    4.5    4.3  -  4.7"
"New England.................   11,984   12,053    7,853    7,922    7,527    7,618      326      303    4.1    3.8    3.6  -  4.1"
"Connecticut..............    2,883    2,890    1,905    1,919    1,807    1,829       98       90    5.1    4.7    4.1  -  5.3"
"Maine....................    1,094    1,101      692      700      666      677       26       23    3.8    3.3    2.8  -  3.8"
"Massachusetts............    5,543    5,584    3,611    3,657    3,471    3,521      140      136    3.9    3.7    3.3  -  4.1"
"New Hampshire............    1,091    1,100      746      747      725      727       21       20    2.9    2.7    2.3  -  3.0"
Rhode Island.............      859      862      554      555      525      530       29       25    5.2    4.5    3.8  -  5.1
Vermont..................      514      516      345      345      333      334       11       10    3.2    3.0    2.6  -  3.4
"Middle Atlantic.............   33,262   33,362   20,652   20,651   19,611   19,671    1,041      980    5.0    4.7    4.5  -  5.0"
"New Jersey...............    7,123    7,159    4,531    4,519    4,306    4,310      225      209    5.0    4.6    4.2  -  5.1"
"New York.................   15,904   15,941    9,669    9,705    9,200    9,249      468      455    4.8    4.7    4.4  -  5.0"
"Pennsylvania.............   10,235   10,261    6,453    6,427    6,105    6,112      348      316    5.4    4.9    4.5  -  5.3"
"Midwest........................   53,240   53,492   34,760   34,777   33,142   33,337    1,617    1,440    4.7    4.1    4.0  -  4.3"
"East North Central..........   36,823   36,967   23,587   23,629   22,406   22,571    1,182    1,058    5.0    4.5    4.3  -  4.7"
"Illinois.................   10,060   10,060    6,550    6,493    6,170    6,171      380      322    5.8    5.0    4.6  -  5.3"
"Indiana..................    5,147    5,181    3,327    3,320    3,180    3,203      147      117    4.4    3.5    3.1  -  4.0"
"Michigan.................    7,903    7,944    4,840    4,884    4,599    4,657      241      227    5.0    4.6    4.2  -  5.1"
"Ohio.....................    9,147    9,190    5,739    5,780    5,451    5,491      288      289    5.0    5.0    4.6  -  5.4"
"Wisconsin................    4,566    4,592    3,131    3,152    3,005    3,048      125      104    4.0    3.3    2.9  -  3.7"
"West North Central..........   16,417   16,525   11,172   11,148   10,736   10,766      436      382    3.9    3.4    3.2  -  3.6"
"Iowa.....................    2,441    2,455    1,696    1,679    1,635    1,626       61       53    3.6    3.1    2.7  -  3.6"
"Kansas...................    2,211    2,219    1,485    1,479    1,425    1,425       60       54    4.0    3.6    3.2  -  4.1"
"Minnesota................    4,321    4,365    3,036    3,064    2,919    2,958      117      106    3.9    3.5    3.0  -  3.9"
"Missouri.................    4,756    4,781    3,080    3,051    2,939    2,936      140      115    4.6    3.8    3.3  -  4.2"
"Nebraska.................    1,454    1,466    1,009    1,007      978      977       31       30    3.1    2.9    2.6  -  3.3"
